rouge1: 0.21027377424607577, rouge2: 0.05489015193734837, rougeL: 0.14793830483089104
rouge1: 0.21012434668727667, rouge2: 0.054827631971144306, rougeL: 0.14790640929750523
rouge1: 0.21008817453161688, rouge2: 0.05478152529629968, rougeL: 0.14780385520571404
rouge1: 0.20998742587086588, rouge2: 0.054660997811068354, rougeL: 0.1477008806779915
rouge1: 0.20987560054997803, rouge2: 0.05458484191555062, rougeL: 0.1476467760866571
rouge1: 0.20976263906150142, rouge2: 0.05461925292282437, rougeL: 0.14760378517725795
rouge1: 0.20984686474167066, rouge2: 0.05468254503908595, rougeL: 0.1476626608375102
rouge1: 0.2098815197786915, rouge2: 0.0545644586361263, rougeL: 0.14763727463737467
rouge1: 0.20975098958311159, rouge2: 0.05439619769549382, rougeL: 0.14745967065191382
rouge1: 0.20982369005700058, rouge2: 0.05443348750824646, rougeL: 0.1474938192816748
rouge1: 0.20987685568678055, rouge2: 0.05447656547304005, rougeL: 0.14750853002806266
rouge1: 0.2100101882937858, rouge2: 0.05457945145581876, rougeL: 0.1475681116816522
rouge1: 0.20991565462247772, rouge2: 0.05459258537245909, rougeL: 0.14756159144967615
rouge1: 0.20992126163616154, rouge2: 0.054664933925937347, rougeL: 0.1475846885839418
rouge1: 0.21003325447416973, rouge2: 0.05468769243819481, rougeL: 0.14760625349571696
rouge1: 0.210122580355615, rouge2: 0.05485969505147393, rougeL: 0.1477115568560879
rouge1: 0.2101517207642832, rouge2: 0.05480416416696761, rougeL: 0.1476950214096162
rouge1: 0.21018664138476015, rouge2: 0.05479597558435369, rougeL: 0.14766586148246558
rouge1: 0.21033912135697352, rouge2: 0.05484251840709866, rougeL: 0.14769217250066558
rouge1: 0.2103146293519362, rouge2: 0.05480196654390786, rougeL: 0.14759897497098837
rouge1: 0.21035912362377293, rouge2: 0.05475795779523479, rougeL: 0.14754904548993616
rouge1: 0.21051862796815413, rouge2: 0.05486824308218865, rougeL: 0.14777303435205047
rouge1: 0.2103418268553777, rouge2: 0.05473304471001109, rougeL: 0.14763320456584147
rouge1: 0.21035156188083096, rouge2: 0.05474073437913362, rougeL: 0.14757604484605216
rouge1: 0.2102892090583586, rouge2: 0.0546745935788794, rougeL: 0.1474814036576663
rouge1: 0.21054240549917866, rouge2: 0.05472690211457538, rougeL: 0.1476312031014976
rouge1: 0.2105461960941775, rouge2: 0.0547680703418325, rougeL: 0.14767545037412502
rouge1: 0.21048307377406203, rouge2: 0.054832108436423645, rougeL: 0.14769543035456362
rouge1: 0.21026690098200262, rouge2: 0.05486538179627928, rougeL: 0.14754605370338297
rouge1: 0.21002542870315025, rouge2: 0.05479701169935782, rougeL: 0.14749827141489963
rouge1: 0.21016352650138848, rouge2: 0.05500537100819366, rougeL: 0.14757559684563953
rouge1: 0.21029983598337584, rouge2: 0.05515597788843108, rougeL: 0.14773892007945066
rouge1: 0.21049357006220143, rouge2: 0.055191824786206434, rougeL: 0.1478443724118612
rouge1: 0.21056899992892042, rouge2: 0.05512424405066649, rougeL: 0.1477782337320751
rouge1: 0.21065056888709413, rouge2: 0.055131098438826395, rougeL: 0.14787789019685035
rouge1: 0.21085652776320155, rouge2: 0.05525040807821783, rougeL: 0.14810485410838103
rouge1: 0.21072913858918138, rouge2: 0.05513423894772251, rougeL: 0.14794115510118955
rouge1: 0.21079416076615531, rouge2: 0.055095606025111536, rougeL: 0.14807294485326777
rouge1: 0.2106831165983246, rouge2: 0.05497944492685632, rougeL: 0.1479647026291992
rouge1: 0.21070287105322155, rouge2: 0.05501311591600527, rougeL: 0.14797726366699454
rouge1: 0.2109532451586078, rouge2: 0.05511096375959518, rougeL: 0.14799492846889004
rouge1: 0.21078589538832943, rouge2: 0.05503712927571897, rougeL: 0.14786556926806058
rouge1: 0.21089334263595727, rouge2: 0.055193377571554014, rougeL: 0.14796550759345795
rouge1: 0.21063499094864466, rouge2: 0.05504181300461131, rougeL: 0.14779174596671385
rouge1: 0.2106757942179331, rouge2: 0.0550033040768679, rougeL: 0.14761582643414653
rouge1: 0.21078095809296696, rouge2: 0.055022694114635715, rougeL: 0.1476983473127033
rouge1: 0.2108902051078417, rouge2: 0.055025672641135275, rougeL: 0.14776752057752848
rouge1: 0.2110101663777583, rouge2: 0.055113198504758584, rougeL: 0.14788425543098066
rouge1: 0.21112966241575334, rouge2: 0.05514029973953715, rougeL: 0.14791602449649904
rouge1: 0.21124553357427214, rouge2: 0.05522076808672063, rougeL: 0.1480158654243288
rouge1: 0.21130567035186434, rouge2: 0.055329659471422196, rougeL: 0.14810365506675088
rouge1: 0.21145113461510429, rouge2: 0.05541516686076464, rougeL: 0.1481629348173042
rouge1: 0.21147763135248726, rouge2: 0.055501683760571796, rougeL: 0.14819444474135762
rouge1: 0.21145167396100914, rouge2: 0.055428194083515674, rougeL: 0.14820195247042195
rouge1: 0.21155477440394413, rouge2: 0.05550721122592802, rougeL: 0.1483056942766073
rouge1: 0.21157005804268897, rouge2: 0.05545881142853991, rougeL: 0.14830587825860408
rouge1: 0.2114872815989598, rouge2: 0.05533003595051917, rougeL: 0.14821746572384745
rouge1: 0.21124118582337334, rouge2: 0.055184181996632775, rougeL: 0.14800010962074683
rouge1: 0.2111617915681417, rouge2: 0.05516256581285961, rougeL: 0.14795952442484295
rouge1: 0.21124040115266624, rouge2: 0.055208206778903555, rougeL: 0.14798680549105894
rouge1: 0.21134334423095572, rouge2: 0.05536335928918515, rougeL: 0.14817569178795306
rouge1: 0.21127704661809416, rouge2: 0.05534529390150162, rougeL: 0.14821535634055596
rouge1: 0.21117586870474847, rouge2: 0.05533312807603623, rougeL: 0.14811793189775319
